Entry	Name	Description	Object	Legend
hsa05131	Shigellosis - Homo sapiens (human)	"...IpaH(9.8) downregulate the production of proinflammatory cytokines such as IL-8, helping bacteria ci..."	"C04637 (1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate) C04737 (alpha-D-Galactosyl-(1-&gt;4)-beta-D-..."	...otility Type III secretion system effectors Inflammatory suppression Inflammatory suppression Microt...
hsa04211	Longevity regulating pathway - Homo sapiens (human)	"... and survival pathways while attenuating proinflammatory mediators and cellular growth. Furthermore,..."	"C05981 (Phosphatidylinositol-3,4,5-trisphosphate) C00575 (3',5'-Cyclic AMP) C03582 (Resveratrol) C07..."	...es CaMK DNA PGC-1¦Á NF-¦ÊB Reduction in pro-inflammatory effect PPAR¦Ã Reduction in white addipose t...
hsa04622	RIG-I-like receptor signaling pathway - Homo sapiens (human)	"...he synthesis of type I interferon and other inflammatory cytokines, which are important for eliminat..."	"23586 (DDX58) 64135 (IFIH1) 7706 (TRIM25) 54941 (RNF125) 57506 (MAVS) 4790 (NFKB1), 5970 (RELA) 5559..."	...ornaviridae Flaviviridae IFN¦Ø IFN¦Å IFN¦Ê Inflammatory cytokines IL-8 TNF¦Á IL-12 NK cell activat...
hsa05167	Kaposi's sarcoma-associated herpesvirus infection - Homo sapiens (human)	...icated experimentally in the angiogenic and inflammatory phenotype observed in KS lesions. Several ...	"C00350 (Phosphatidylethanolamine) C05981 (Phosphatidylinositol-3,4,5-trisphosphate) C01245 (D-myo-In..."	... pathway dsRNA Endosome Angiogenesis DNA Inflammatory cytokines +p +p +p P13K IFN-¦Á/¦ÂR NF-?...
hsa05323	Rheumatoid arthritis - Homo sapiens (human)	"...ctivation of the immune system elevates pro-inflammatory cytokines and chemokines levels, which can ..."	C05443 (Vitamin D3) C16051 (Parathyroid hormone) C00584 (Prostaglandin E2) C00080 (H+) 8600 (TNFSF11...	...sorption APRIL BLYS LFA1 ICAM1 CD80/86 CD28 Inflammatory cell infiltration Leukocyte migration Blood...
hsa05418	Fluid shear stress and atherosclerosis - Homo sapiens (human)	"...nes and proteins that promote oxidative and inflammatory states in the artery wall, resulting in ath..."	C16845 (Peroxynitrite) C00533 (Nitric oxide) C00076 (Calcium cation) C00704 (O2.-) C00533 (Nitric ox...	...T TRX1 SQSTM eNOS CNP ASS Vasodilatory Anti-inflammatory eNOS Anti-thrombotic t-PA eNOS Endothelial ...
hsa03050	Proteasome - Homo sapiens (human)	"...opriate immune responses, stress signaling, inflammatory responses, and apoptosis. It is capable of ..."	3458 (IFNG) 5709 (PSMD3) 5718 (PSMD12) 5717 (PSMD11) 9861 (PSMD6) 5713 (PSMD7) 5719 (PSMD13) 10213 (...	IFN¦Ã Rpt2 Rpt1 ¦Â2 ¦Â3 ¦Â4 ¦Â5 ¦Â6 ¦Â7 ¦Á1 ¦Á2 ¦Á3 ¦Á4 ¦Á5 ¦Á6 ¦Á7 ¦Â1 Rpt6 Rpt4 Rpt5 Rpt3 Rpn1 Rpn...
hsa04010	MAPK signaling pathway - Homo sapiens (human)	...KKKs may activate ERK1/2 in response to pro-inflammatory stimuli.	"C00338 (Lipopolysaccharide) C00165 (Diacylglycerol) C00575 (3',5'-Cyclic AMP) C01245 (D-myo-Inositol..."	LPS RasGRF MKP PTP PP2CB FASL DAG cAMP HGK cPLA2 STMN1 Tau NF¦ÊB IKK NIK ERK MP1 MEK2 MEK1 Raf1 RafB...
hsa04060	Cytokine-cytokine receptor interaction - Homo sapiens (human)	"...cells engaged in innate as well as adaptive inflammatory host defenses, cell growth, differentiation..."	53833 (IL20RB) 53833 (IL20RB) 3565 (IL4) 659 (BMPR2) 659 (BMPR2) 93 (ACVR2B) 91 (ACVR1B) 92 (ACVR2A)...	IL20RB IL20RB VEGFE IL4 BMPR2 BMPR2 ACVR2B ACVR1B ACVR2 ACVR1 IL10RB IL22RA1 IL2RG IL2RG IL2RG IL2RG...
hsa04062	Chemokine signaling pathway - Homo sapiens (human)	Inflammatory immune response requires the recruitment of leukocytes to the site of inflammation upon...	"C00165 (Diacylglycerol) C01245 (D-myo-Inositol 1,4,5-trisphosphate) C00076 (Calcium cation) C00575 (..."	Migration Apoptosis Degranulation Cellular shape changes Cell survival chemokineR chemokine JAK2/3 ...
hsa04218	Cellular senescence - Homo sapiens (human)	"...ctosidase (SA-b-gal) activity, secretion of inflammatory cytokines, growth factors and matrix metall..."	"C16844 (Hydroxyl radical), C00027 (Hydrogen peroxide) C07909 (Sirolimus) C00076 (Calcium cation) C16..."	CELLULAR SENESCENCE NORE1A PP1A C-Myc HIPK2 ARF MDM2 p53 P53 signaling pathway PI3K AKT TSC1/2 RHEB...
hsa04664	Fc epsilon RI signaling pathway - Homo sapiens (human)	...These mediators and cytokines contribute to inflammatory responses.	C00696 (Prostaglandin D2) C05952 (Leukotriene E4) C05951 (Leukotriene D4) C02166 (Leukotriene C4) C0...	IgE IgE Fc¦ÅRI¦Ã Fc¦ÅRI¦Â Fc¦ÅRI¦Á PGD LTE LTD LTC Arachidonic acid Heparin Histamine DAG Fc¦ÅRI¦Â F...
hsa04672	Intestinal immune network for IgA production - Homo sapiens (human)	...its ability to generate great amounts of noninflammatory immunoglobulin A (IgA) antibodies that serv...	"C00777 (Retinoate), C15493 (9-cis-Retinoic acid) 7040 (TGFB1) 3567 (IL5) 3569 (IL6) 8741 (TNFSF13) 1..."	TGF¦Â Gut lumen M cell Antigen processing and presentation T cell receptor signaling pathway ...
hsa04920	Adipocytokine signaling pathway - Homo sapiens (human)	...tion of PEPCK and G6Pase expression. The proinflammatory cytokine TNFalpha has been implicated as a ...	C00195 (N-Acylsphingosine) C00638 (Long-chain fatty acid) C15493 (9-cis-Retinoic acid) C00165 (Diacy...	Ceramide Long-chain fatty acid Retinoic acid NF-¦ÊB I¦ÊB SHP-2 SOCS3 CPT-1 G6PC PEPCK FACS Diglyceri...
hsa04933	AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human)	".... NF-kappa B promotes the expression of pro-inflammatory cytokines such as IL-1, IL-6 and TNF-alpha ..."	"C00031 (D-Glucose) C00195 (N-Acylsphingosine) C21011 ([Protein]-N(epsilon)-(carboxymethyl)lysine), C..."	AGE-RAGE SIGNALING PATHWAY IN DIABETIC COMPLICATIONS High glucose Aging Inflammation Oxidative...
hsa04940	Type I diabetes mellitus - Homo sapiens (human)	"...plex on the beta-cell, and (2) non-specific inflammatory mediators, such as free radicals/oxidants a..."	"C00704 (O2.-), C00027 (Hydrogen peroxide), C00533 (Nitric oxide) 3382 (ICA1) 940 (CD28) 3592 (IL12A)..."	TCR TCR ICA Oxygen / nitrogen free radicals CD28 Apoptosis IL-12 CPE CD80/86 IA-2 GAD HSP IL-2 ...
hsa05166	HTLV-I infection - Homo sapiens (human)	...rongly implicated in non-neoplastic chronic inflammatory diseases such as HTLV-1-associated myelopat...	C00076 (Calcium cation) C18996 (Accessory protein p30II) C18995 (P13 protein) C00238 (Potassium cati...	HTLV-I INFECTION Human T-lymphotropic virus-I gp21 gp46 NRP1 CD4+ T cell GLUT1 HSPG TGF¦Â Virus ent...
hsa05310	Asthma - Homo sapiens (human)	"...ctors that contribute to the recruitment of inflammatory cells, particularly eosinophils, whose prol..."	C00388 (Histamine) C02166 (Leukotriene C4) C00696 (Prostaglandin D2) C04598 (2-Acetyl-1-alkyl-sn-gly...	Cytokine-cytokine receptor interaction Jak-STAT signaling pathway Fc¦ÅRI signaling pathway T cell re...
hsa05322	Systemic lupus erythematosus - Homo sapiens (human)	... the renal glomeruli and mediate a systemic inflammatory response by activating complement or via Fc...	C00027 (Hydrogen peroxide) C00434 (Double-stranded DNA) C02737 (Phosphatidylserine) 102723407 (IGH) ...	BCR Fc¦ÃR Fc¦ÃR IgG IgG IgG IgG Elastase Cathepsin C1s C1q C1r MAC TNF-¦Á IFN-¦Ã IL-10 C1q C1q CD80/...
hsa03320	PPAR signaling pathway - Homo sapiens (human)	Peroxisome proliferator-activated receptors (PPARs) are nuclear hormone receptors that are activated...	"...r08303(C10AB fibrates) BR:br08303(S01BC Antiinflammatory agents, non-steroids) BR:br08303(S01BC Anti..."	Unsaturated fatty acid Unsaturated fatty acid Saturated fatty acid Eicosanoid Fibrate drug NSAID 9-c...
hsa04659	Th17 cell differentiation - Homo sapiens (human)	Interleukin (IL)-17-producing helper T (Th17) cells serve as a subset of CD4+ T cells involved in ep...	...04350: TGF-beta signaling pathway hsa05321: Inflammatory bowel disease (IBD) hsa05323: Rheumatoid ar...	"...athogens (eg. fungi, bacteria) Autoimmunity Inflammatory bowel disease Rheumatoid arthritis Th2 cell..."
hsa04623	Cytosolic DNA-sensing pathway - Homo sapiens (human)	Specific families of pattern recognition receptors are responsible for detecting foreign DNA from in...	C20640 (Cyclic GMP-AMP) 834 (CASP1) 29108 (PYCARD) 9447 (AIM2) 3553 (IL1B) 3606 (IL18) 81030 (ZBP1) ...	...nflammasome AIM2 IL-1¦Â IL-18 p202 dsDNA Proinflammatory cytokine processing Cell death DAI TBK1 IKK...
hsa04668	TNF signaling pathway - Homo sapiens (human)	"Tumor necrosis factor (TNF), as a critical cytokine, can induce a wide range of intracellular signal..."	"7124 (TNF) 7132 (TNFRSF1A) 8717 (TRADD) 7186 (TRAF2), 7188 (TRAF5) 8737 (RIPK1) 329 (BIRC2), 330 (BI..."	...ment Leukocyte activation Surface receptors Inflammatory cytokines Intracellular signaling (negative...
hsa05152	Tuberculosis - Homo sapiens (human)	"Tuberculosis, or TB, is an infectious disease caused by Mycobacterium tuberculosis. One third of the..."	C04549 (1-Phosphatidyl-1D-myo-inositol 3-phosphate) C01194 (1-Phosphatidyl-D-myo-inositol) C00338 (L...	... TUBERCULOSIS DC-SIGN ManLAM Raf1 IL-10 Pro-inflammatory cytokines Phagomsome maturation arrest Rab5...
hsa04658	Th1 and Th2 cell differentiation - Homo sapiens (human)	Immunity to different classes of microorganisms is orchestrated by separate lineages of effector T h...	"C00165 (Diacylglycerol) C00076 (Calcium cation) C01245 (D-myo-Inositol 1,4,5-trisphosphate) 3458 (IF..."	...Proper balance Healthy Balance lost Disease Inflammatory Diseases Allergy Cancer DLL1/4 Notch3 MAML1...
hsa04926	Relaxin signaling pathway - Homo sapiens (human)	"Human relaxin-2 (""relaxin""), originally identified as a peptidic hormone of pregnancy, is now known ..."	"C05981 (Phosphatidylinositol-3,4,5-trisphosphate) C00533 (Nitric oxide) C00575 (3',5'-Cyclic AMP) C0..."	"...onchi Decrease in mast cell degradation and inflammatory leukocytes, and fibrosis Reduction in blood..."
hsa05120	Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human)	Two major virulence factors of H. pylori are the vacuolating cytotoxin (VacA) and the cag type-IV se...	"C01342 (NH4+) C00080 (H+) C00014 (Ammonia) G00263 (IV2Fuc,III4Fuc-Lc4-Cer) C00698 (Cl-) C00086 (Urea..."	... Actin reorganization Chemotactic effect Proinflammatory effect Cell motility Proliferation Mitochon...
hsa05132	Salmonella infection - Homo sapiens (human)	Salmonella infection usually presents as a self-limiting gastroenteritis or the more severe typhoid ...	"C04637 (1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate) C00338 (Lipopolysaccharide) C00533 (Nitric o..."	...of tight junction PIP WAVE Arp2/3 N-WASP Proinflammatory response AP-1 IL-8 RhoG SipD SipC SipB Tran...
hsa05134	Legionellosis - Homo sapiens (human)	Legionellosis is a potentially fatal infectious disease caused by the bacterium Legionella pneumophi...	C00338 (Lipopolysaccharide) C01277 (1-Phosphatidyl-1D-myo-inositol 4-phosphate) 58484 (NLRC4) 29108 ...	.../KC Toll-like receptor signaling pathway Proinflammatory response Chemoattraction PI(4)P Vacuolar re...
hsa05146	Amoebiasis - Homo sapiens (human)	"Entamoeba histolytica, an extracellular protozoan parasite is a human pathogen that invades the inte..."	C00076 (Calcium cation) C00027 (Hydrogen peroxide) C00219 (Arachidonate) C00584 (Prostaglandin E2) C...	...rophagocytosis Endocytosis Hsp27 Suppressed inflammatory response TLR2 CD1d NK T cell CD14 PI3K NF¦Ê...
hsa05215	Prostate cancer - Homo sapiens (human)	Prostate cancer constitutes a major health problem in Western countries. It is the most frequently d...	"C00951 (Estradiol-17beta), C00410 (Progesterone), C07653 (Flutamide), C01227 (Dehydroepiandrosterone..."	...af Normal prostate epithelium Proliferative inflammatory atrophy Prostatic intraepithelial neoplasia...
