Path	Description	Genes
Primary Focal Segmental Glomerulosclerosis FSGS		DKK1,FAT1,INF2,SCARB2,ITGB3,WNT1,TLN1,CAMK2B,AGRN,NPHS2,PCNA,PLCE1,FORMIN INF2&#xA;,14-3-3,FYN,PARVA,COL4A4,PHOSPHOLIPASE CE1,PLAUR,NOTCH1,ACTN4,KIRREL3,CDKN1A,TRPC6,FAK,LRP6,AACTININ4,CADHERIN,HHARP,NEPHRIN&#xA;,MKI67,PAX2,CDKN1C,TGFB1,VTN,ITGB4,LMX1B,PTPRO,VIM,LAMA5,CDKN1B,JAG1,PLCG1,LAMB2,KRT8,NPHS1,COL4A3,UTRN,PODXL,CLDN1,ITGAV,TLR4,ITGA3,CD151,CD2AP,ITGB1,NON-MUSCLE MYOSIN-1E,MYH9,MME,NCK1,NMMHC,ILK,KIRREL2,VCL,IRF6,MYO1E,CTNNB1,DAG1,SMARCAL1,SYNPO,CR1,MT-TL1,DNM1,PODOCIN,WT1,CTSL,LRP5,COL4A5,AKT1,LIMS1,CD80
Estrogen metabolism	Estrogens are metabolized via hydroxylation by cytochrome P450 enzymes such as CYP1A1 and CYP3A4 and via conjugation by estrogen sulfotransferases (sulfation) and UDP-glucuronyltransferases (glucuronidation). In addition, estradiol is dehydrogenated by 17β-Hydroxysteroid dehydrogenase into the much less potent estrogen estrone. These reactions occur primarily in the liver, but also in other tissuesDescription source: [https://en.wikipedia.org/wiki/Estrogen#Metabolism Wikipedia].Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP697 CPTAC Assay Portal]	COMT,CYP3A4,SULT1A1,UGT1A3,UGT1A1,SULT1E1,ARSD,CYP1B1,ARSC,CYP1A2,NQO1,CYP1A1,UGT1A8,UGT2B7,GSTA1,UGT1A9,GSTM1,ARSE
Hypothesized Pathways in Pathogenesis of Cardiovascular Disease	The pathways hypothesized to be involved in  cardiovascular diseases begin with LTBPs and Fibrillins activating a TGFBR complex. The complex can begin the canonical TGFB pathway involving SMAD proteins that target gene expression for proteins involved in endocardial and epicardial EMT, neural crest migration, ECM remodeling, cell differentiation, development and maintenance of cardiovascular structure and function. The non-canonical TGFB pathway involves the calcium-calneurin signaling pathway that also affects the previously mentioned functions. the TGFBR complex also activates SHCA and Tak1 which promote the function of a complex (ERK1/2, JNK1, and p38) to regulate the previously mentioned cell functions and influence the development of cardiovascular diseases. These diseases are additionally influenced by a signalling pathway involving the activation of TGFB ligands, receptors, activators, and effectors by ANG2/AT1/2R complex. This pathway is based on figure 1 from Doetschman et alProteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP3668 CPTAC Assay Portal]	MAPK14,FBN3,MAPK1,FLNA,MAPK3,FBN2,ANG2,SMAD2,TGFBR2,NR2C2,SERPINE1,AGTR1,RUNX2,FBN1,ENG,SMAD4,TGFBR3,SHC1,TGFBR1,MAPK8,LTBP2,CTGF,POSTN,SMAD3,LTBP1
TGF-beta Receptor Signalling in Skeletal Dysplasias	This diagram shows which skeletal dysplasias are caused by abnormalities in in TGF-beta signalling. The diagram is based on pathway: [[Pathway:WP560|TGF-beta Receptor Signaling (Homo sapiens)]].Dotted arrows indicates that a disease is caused by mutation in the respective gene.The exact role of ADAMTS10 and ADAMTSL2 is currently unknown, they are known to interact with FBN1.The Transforming growth factor beta (TGFβ) signaling pathway is involved in many cellular processes in both the adult organism and the developing embryo including cell growth, cell differentiation, apoptosis, cellular homeostasis and other cellular functions. In spite of the wide range of cellular processes that the TGFβ signaling pathway regulates, the process is relatively simple. TGFβ superfamily ligands bind to a type II receptor, which recruits and phosphorylates a type I receptor. The type I receptor then phosphorylates receptor-regulated SMADs (R-SMADs) which can now bind the coSMAD SMAD4. R-SMAD/coSMAD complexes accumulate in the nucleus where they act as transcription factors and participate in the regulation of target gene expression. (source: [http://en.wikipedia.org/wiki/TGF_beta_signaling_pathway WikiPedia])	HRAS,STAT1,SPP1,MAPK3,BMP4,TNF,SMAD1,IFNG,ADAMTSL2,SMAD2,CREBBP,LIF,FKBP1A,EGF,SERPINE1,RUNX2,TGFB1,SMAD4,LEFTY2,SMAD5,CTNNB1,SMAD7,STAT3,BAMBI,SMAD3,LTBP1,LEFTY1,ZFYVE9,JUN,ZFHX1B,TFE3,LEF1,NFKB1,SKIL,EP300,ADAMTS10,TGFBR2,FST,RUNX3,WNT1,JAK1,THBS1,SMAD9,FOXH1,SKI,FBN1,NOG,ENG,LTBP3,TGFBR3,INHBA,TGFBR1,ZNF423,FOS,MIR302A,TGIF,ITGB6,SMAD6,MAPK9
TFs Regulate miRNAs related to cardiac hypertrophy	Transcription Factors that possibly regulate the expression of microRNAs related to cardiac hypertrophyInteractions found by using TransMir. MicroRNAs are represented by a purple color and a rounded rectangleProteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP1559 CPTAC Assay Portal].	MEF-2,TGFbeta,STAT3,Calcineurin,MIR29A,AKT2,AKT1,NFkB,RAS
Selenium Micronutrient Network	The selenium-centred micronutrient biological network. The most relevant biochemical processes related to selenium in the context of metabolism, oxidation and inflammation are represented. Also, the compartmental separation (intracellular vs. plasma) is presented, identifying the selenium centred plasma metabolome. A selenoprotein database exists at:  http://www.selenodb.org.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP15 CPTAC Assay Portal]	NFkB1,RELA,NFkB2
miRNAs involved in DNA damage response	MicroRNA clusters involved in de DNA damage response. Genes they regulated and genes that regulate them. All genes presented in this pathway can also be found in the pathway "DNA damage response(Homo sapiens)". More info can be found there.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP1545 CPTAC Assay Portal].	hsa-mir-330,hsa-mir-449b,hsa-mir-17,hsa-mir-374b,hsa-miR-203 gene,hsa-mir-106b,hsa-mir-542,hsa-mir-34b,hsa-miR-106b/25 cluster,hsa-let-7f,hsa-mir-15b,hsa-mir-450b,hsa-mir-449a,hsa-miR-424/450b cluster,CDKN1B,hsa-mir-371,hsa-miR-330 gene,hsa-let-7b,hsa-let-7d,hsa-mir-29a,hsa-mir-27b,hsa-mir-203,ATM,hsa-let-7a-2/100 cluster,hsa-mir-210,hsa-mir-223,hsa-mir-27a,hsa-mir-181a,CDC25A2,hsa-mir-374b/421 cluster,hsa-mir-424,hsa-mir-16,hsa-mir-15a,hsa-miR-21gene,hsa-mir-181a-2/181b-2 cluster,hsa-mir-450a,hsa-mir-19b-1 ,hsa-miR-449c/449a cluster,hsa-mir-195,hsa-mir-15b/16-2 cluster,hsa-mir-24,hsa-mir-145,TP53,hsa-mir-93,hsa-mir-373,hsa-mir-29c,hsa-mir-23a,hsa-miR-222/221 cluster,hsa-miR-29b-1/29a cluster,hsa-mir-23b,CDK6,CREB1,hsa-mir-372,hsa-miR-210 gene,hsa-mir-34b/34c cluster,hsa-mir-20a,hsa-mir-19a,hsa-mir-18a,hsa-let-7a-1/7d cluster,hsa-mir-143,hsa-mir-497,hsa-mir-25,E2F1,RAD52,hsa-mir-181b,hsa-mir-421,CCND1,CCND3,hsa-mir-222,hsa-mir-3074,hsa-let-7a,hsa-miR-29b-2/29c cluster,hsa-mir-15a/16-1 cluster,hsa-mir-92a-1,hsa-mir-34c,hsa-mir-143/145 cluster,hsa-mir-503,hsa-mir-21,ABL1,hsa-mir-100,H2AFX,hsa-miR-195/497 cluster,hsa-miR-17/92a-1 cluster,hsa-mir-449c,hsa-mir-221,c-Myc,hsa-let-7a-3/7b cluster,CCNE1,hsa-miR-223 gene,hsa-mir-181a-1/181b-1 cluster,hsa-mir-23b/24-1 cluster,hsa-mir-23a/24-2 cluster,hsa-mir-371/373 cluster,hsa-mir-29b-1,CDKN1A
HIPK2 in kidney fibrosis	This pathway was adapted from Figure 6i of PMID: 22406746	SIAH1,HIPK2
SRF and miRs in Smooth Muscle Differentiation and Proliferation	Smooth muscle cells exhibit a unique plasticity, in that they are able to oscillate between proliferative and more quiescent, differentiated states. These two states are determined, in part, by a network of transcription factors, including Klf-4, Elk-1 and serum response factor (SRF), that regulate expression of genes controlling smooth muscle cell status. Two smooth muscle-enriched, co-transcribed microRNAs (miRNAs), miR-143 and miR-145, cooperatively target this transcription factor network to promote smooth muscle cell differentiation. miR-145 also acts in a positive feed-foward regulatory loop to enhance expression of the smooth muscle regulator, Myocardin (Myocd), which cooperates with SRF to activate transcription of miR-143/145. Conversely, the cardiac and skeletal muscle-enriched miRNA, miR-133, which is also under transcriptional control of both SRF and Mef2C, acts in a negative feed-back loop to decrease SRF translation. Other miRNAs, including miR-214 and miR-199a, also target SRF, limiting its activity in specific cell types.	NKX2-5,MEF2D,KLF4,ELK1,MEF2B,MEF2C,CAMK2D,MYOCD,CCND2,SRF,MEF2A
EPO Receptor Signaling	The erythropoietin receptor is a 66 kDa peptide and is a member of the cytokine receptor family. The receptor is tyrosine phosphorylated upon binding by erythropoietin and associates with and activates the tyrosine kinase, JAK2, which activates different intracellular pathways including: Ras/MAP kinase, phosphatidylinositol 3-kinase and STAT transcription factors. The stimulated erythropoietin receptor appears to have a role in erythroid cell survival. Defects in the erythropoietin receptor may produce erythroleukemia and familial erythrocytosis. ''Source: [[wikipedia:Erythropoietin_receptor|Wikipedia]]''This pathway is based on ScienceSlides.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP581 CPTAC Assay Portal]	ERK2,CD45,JAK2,IRS2,STAT3,PI3K,GRB2,SOCS1,EPO,SHC1,EPOR,SRC,ERK1,PTP,CISH,MEK2,PDK1,STAT5A,MEK1,SOS1,RAF1,STAT5B,RASA1,PKB,IRS1,STAT1,RAS
Amyotrophic lateral sclerosis (ALS)	Amyotrophic lateral sclerosis (ALS) is a progressive, lethal, degenerative disorder of motor neurons. The hallmark of this disease is the selective death of motor neurons in the brain and spinal cord, leading to paralysis of voluntary muscles. Mutant superoxide dismutase 1 (SOD1), as seen in some familial ALS (FALS) cases, is unstable, forming aggregates in the motor neuron cytoplasm, axoplasm and mitochondria. Within mitochondria, mutant SOD1 may interfere with the anti-apoptotic function of Bcl-2, affect mitochondrial import by interfering with the translocation machinery (TOM/TIM), and generate toxic free radicals (ROS). Reactive oxygen species (ROS), produced within mitochondria, inhibit the function of EAAT2, the main glial glutamate transporter protein, responsible for most of the reuptake of synaptically released glutamate. Glutamate excess increases intracellular calcium, which enhances oxidative stress and mitochondrial damage. Mutant SOD1 can also trigger oxidative reactions , which can then cause damage through the formation of hydroxyl radicals or via nitration of tyrosine residues on proteins. Nitration may target neurofilament proteins, affecting axonal transport. Collectively, these mechanisms are predicted to disturb cellular homeostasis, ultimately triggering motor neuron death.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP2447 CPTAC Assay Portal]	BAD,TP53,NEFH,SOD1,BAX,BCL2L1,PPP3CC,NOS1,RAC1,BID,PPP3CB,NEFL,ASK1,MKK3,CASP12,TNFR,CASP3,TNFalpha,PRPH,p38,NEFM,BCL2,APAF1,DAXX,CAT,GPX1,CASP9,RAB5A,CASP1,PPP3CA,MKK6,CCS,ALS2
GABA receptor Signaling	GABA is the main inhibitory neurotransmitter in the mammalian CNS. It is synthesized from glutamate by the enzyme L-glutamic acid decarboxylase. The GABA transporter GAT, located in the plasma membrane of nerve terminals and glial cells, plays an important role in the termination of synaptic transmission. GABA enters the cell via GAT and is then converted to gamma hydroxybutarate or succinate, the latter eventually entering the citrate cycle.There are three GABA receptors: GABA(A), GABA(B) and GABA(C) receptor. GABA(A) and GABA(C) receptors belong to the family of transmitter-gated ion channels while GABA(B) receptor is a G protein coupled receptor which is activated by baclofen. GABA(A) receptors are hetero-oligomeric Cl- channels that are modulated by barbiturates and benzodiazepines. GABA(A)R-associated protein (GABARAP) is localized in the golgi and plays a role in intracellular GABA (A) receptor transport via its ability to interact with N-ethylmaleimide-sensitive factor (NSF) and gephyrin (GPHN). Surface receptor number is important since it is a determinant of inhibitory synapse strength. It is controlled by removal of receptors from the membrane by interaction with the clathrin adaptor AP2 followed by recruitment into clathrin-coated pits. GABA(A) receptors can then be targeted for proteasomal degradation.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP4159 CPTAC Assay Portal]	ALDH9A1,SLC6A11,AP2A1,GABARAP,GAT1,AP2A2,DNM1,GAD2,GPHN,NSF,ABAT,AP2S1,UBQLN1,AP2B1,AP2M1,GAD1,SLC32A1
LncRNA involvement in canonical Wnt signaling and colorectal cancer	Long non-coding RNAs (lncRNAs) have emerged as significant players in colorectal cancer pathogenesis. This pathway represents a review of long non-coding RNA (LncRNA) involvement in canonical Wnt signaling as it relates to colorectal cancer. The pathway is adapted from [https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5618652/ Shen et al] .	SFRP1,WNT5A,FZD3,LRP6,DVL2,RBM5-AS1,RYK,CER1,TCF3,CXXC4,CSNK2B,CSNK2A2,KREM1,CSNK2A1,AXIN2,CSNK1A1,CDK8,WNT7B,DKK4,FZD5,FZD6,JUN,CCAL,DVL1,NKD1,FZD7,NKD2,CCND3,LEF1,FZD9,HNRNPU,MIR34A,WNT1,ROR2,DKK1,FRAT2,PORCN,ASBEL,DVL3,MIR16-2,CSNK1A1L,WNT11,MYC,TCF7,MYU,CCND1,CTBP2,FZD4,SENP2,SFRP4,WNT3A,H19,EZH2,WNT6,TFAP2A,WNT10B,CDK6,CTBP1,WNT4,lnc34A,WNT2,TCF7L2,WNT10A,CTNNBIP1,NLK,AXIN1,DKK2,CSNK2A3,APC2,WNT16,SOST,LRP5,TCF7L1,WNT5B,FRAT1,SFRP2,HNRNPK,CTNNB1,MAP3K7,ROR1,FOSL1,PLAU,NOTUM,WNT7A,WIF1,FZD1,GSK3B,FZD8,FZD2,SERPINF1,FZD10,MIR16-1,CCND2,SOX17,ATF3,H2AFY2,APC,CSNK1E,RUVBL1,SFRP5,WNT2B,CHD8,WNT3
Simplified Depiction of MYD88 Distinct Input-Output Pathway	This pathway is based on figure 7 from Li et al. Formation of MyD88 dimer catalyzes formation of IRAK1/TRAF6 complex. UEV1A and Ubc13 ubiquinate TRAF6 which allow for the activation of NFKB and AP-1 through canonical IKK phosphorylation. This complex also induces the production of reactive oxygen species.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP3877 CPTAC Assay Portal].	TLR1,TLR7,IL-1,UEV1A,TLR6,TLR11,TLR9,TLR4,TIFA,MYD88,TLR5,UBC13,IRAK1,NFKB,CRE,TLR10,TLR2,TRAF6,TLR8
Vitamin D in inflammatory diseases	Vitamin D in inflammatory diseases.Inhibition of the p38 MAP kinase pathway. Proinflammatory stimuli lead to p38MAP kinase phosphorylation and activation which subsequently induces expression of many proinflammatory proteins. MED14 is part of the mediator complex involved in the regulation of transcriptional initiation and it was found to form a complex with VDR and mediate ligand-dependent enhancement of transcription by the VDR. SMAD, NFAT and NFκB signaling and modulation of these signaling pathways by VDR/RXR. 	SMAD3,IkKA,MAP2K3,PPP3CA,MAP2K6,MAP3K1,NFAT,RXR,VDR,RELA,SMAD4,GCR,IL6,p38,IkKG,IkKB,IkBA,PPP3R1,Med14,TNF,MKP1,NFkB
Differentiation of white and brown adipocyte   	Development of white versus brown adipocytes (figure from Handbook of Obesity). Transcription factors and nuclear regulators controlling the development of white versus brown adipocytes are shown in the pathway.At the bottom a selection of identified markers of white and brown adipocytes were added (from Nascimento et al). 	C/EBPδ,BMP7,HOXC8,Zfp423,HOXC9,Smad5,BMP4,PRDM16,C/EBPβ,PGC-1β,CIDEA,EBF3,Smad8,C/EBPα,Leptin,PLAC8,ASC-1,HSPB7,Smad1,PGC-1α,PPARγ,BMP2,Smad9,Adiponectin,EVA1,ZIC1
ACE Inhibitor Pathway	The core of this pathway was elucidated over a century ago and involves the conversion of angiotensinogen to angiotensin I (Ang I) by renin, its subsequent conversion to angiotensin II (Ang II) by angiotensin converting enzyme. Ang II activates the angiotensin II receptor type 1 to induce aldosterone synthesis, increasing water and salt resorption and potassium excretion in the kidney and increasing blood pressure.Source: PharmGKB (https://www.pharmgkb.org/pathway/PA2023)Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP554 CPTAC Assay Portal]	AGTR2,TGFB1,AGTR1,AGT,MAS1,ACE,ATP6AP2,BDKRB2,CYP11B2,ACE2,CTSG,NOS3,TFs,REN,KNG1,BDKRB1,CMA1,NR3C2
ATR Signaling	This pathway is modeled after Figure 1 in the article " ATR signalling: more than meeting at the fork" (See Bibliography). This pathway details the ATR signaling which commences when there is a gap in the single strand DNA. It details the usage of several independent checkpoint proteins which then cause TOPBP1 dependent activation of the phosphorylation and kinase of a large number of substrates including CHK1 to commence regulation of cellular response to DNA damage and replication stress. Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP3875 CPTAC Assay Portal]	RPA,ATR,CHK1,RAD9A,ATRIP,TOPBP1,RAD9B,RAD1,HUS1
